MID	START	END	TIME	F1	F2	F3	PAT	T1	T2	T3	T4	T5	Q1c1	Q1c2	Q1c3	Q1c4	Q1c5	Q2s1	Q2s2	Q2s3	Q2s4	Q2s5	Q3s1	Q3s2	Q3s3	Q3s4	Q3s5	Q4s1c1	Q4s1c2	Q4s1c3	Q4s1c4	Q4s1c5	Q4s2c1	Q4s2c2	Q4s2c3	Q4s2c4	Q4s2c5	Q4s3c1	Q4s3c2	Q4s3c3	Q4s3c4	Q4s3c5	Q4s4c1	Q4s4c2	Q4s4c3	Q4s4c4	Q4s4c5	Q4s5c1	Q4s5c2	Q4s5c3	Q4s5c4	Q4s5c5
16	2025/11/02 21:00:47	2025/11/02 21:08:11	444	1	34	2	1	107	240	38	90	33	0	1	1	1	1	0	3	5	3	4	0	0	5	0	5	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1
17	2025/11/06 09:57:38	2025/11/06 10:12:20	882	1	30	2	1	107	240	38	90	33	1	0	1	1	0	4	0	4	2	0	5	0	4	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0
18	2025/11/04 12:59:05	2025/11/04 13:07:41	516	1	37	2	1	107	240	38	90	33	1	0	0	1	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	2025/11/02 20:45:10	2025/11/02 20:50:38	328	1	32	2	1	107	240	38	90	33	1	1	1	1	1	3	4	3	5	3	0	5	0	2	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
20	2025/11/03 03:51:04	2025/11/03 03:58:50	466	1	33	2	1	107	240	38	90	33	1	1	1	1	1	4	1	5	2	4	4	0	5	0	5	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1
21	2025/11/01 15:37:43	2025/11/01 15:42:38	295	1	48	3	1	107	240	38	90	33	1	0	1	0	1	4	0	3	0	3	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
22	2025/11/05 04:40:10	2025/11/05 04:45:04	294	1	46	3	1	107	240	38	90	33	1	0	0	1	1	3	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	2025/11/04 23:49:02	2025/11/05 00:03:35	873	1	42	3	1	107	240	38	90	33	1	1	1	1	0	4	3	3	2	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
24	2025/11/01 19:55:55	2025/11/01 20:02:35	400	1	45	3	1	107	240	38	90	33	1	1	1	1	1	3	1	2	4	5	0	0	0	5	2	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1
25	2025/11/02 03:06:37	2025/11/02 03:18:36	719	1	45	3	1	107	240	38	90	33	0	0	0	1	1	0	0	0	2	4	0	0	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
26	2025/11/07 03:28:05	2025/11/07 03:32:26	261	1	41	3	1	107	240	38	90	33	0	0	1	1	1	0	0	4	2	4	0	0	1	0	5	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0
27	2025/11/06 07:29:02	2025/11/06 07:42:25	803	1	41	3	1	107	240	38	90	33	1	1	1	1	1	4	1	5	3	3	5	0	4	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
28	2025/11/03 06:15:22	2025/11/03 06:28:46	804	1	48	3	1	107	240	38	90	33	1	1	1	0	1	3	4	3	0	5	0	5	0	0	5	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
29	2025/11/03 10:29:52	2025/11/03 10:42:31	759	1	44	3	1	107	240	38	90	33	1	1	1	0	1	5	1	2	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
30	2025/11/03 16:46:27	2025/11/03 16:54:26	479	1	48	3	1	107	240	38	90	33	0	1	1	1	0	0	3	2	5	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
31	2025/11/01 23:36:59	2025/11/01 23:48:29	690	1	57	4	1	107	240	38	90	33	1	0	1	1	0	4	0	4	3	0	4	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
32	2025/11/03 02:51:09	2025/11/03 02:59:01	472	1	53	4	1	107	240	38	90	33	0	1	1	1	0	0	2	2	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
33	2025/11/04 19:25:09	2025/11/04 19:32:13	424	1	53	4	1	107	240	38	90	33	1	1	0	1	1	4	2	0	2	4	4	0	0	0	3	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1
34	2025/11/03 17:01:30	2025/11/03 17:13:44	734	1	53	4	1	107	240	38	90	33	1	1	1	1	1	5	3	4	3	5	3	0	5	0	3	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1
35	2025/11/02 04:08:17	2025/11/02 04:13:49	332	1	51	4	1	107	240	38	90	33	0	1	1	1	1	0	1	5	2	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
36	2025/11/04 05:12:20	2025/11/04 05:17:37	317	1	51	4	1	107	240	38	90	33	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	2025/11/07 05:52:07	2025/11/07 06:05:37	810	1	53	4	1	107	240	38	90	33	1	0	1	1	1	3	0	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	2025/11/07 01:56:23	2025/11/07 02:06:43	620	1	58	4	1	107	240	38	90	33	1	1	1	0	1	4	2	5	0	4	2	0	4	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1
39	2025/11/07 03:34:31	2025/11/07 03:43:17	526	1	57	4	1	107	240	38	90	33	1	1	1	0	0	4	4	1	0	0	4	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0
40	2025/11/01 18:59:31	2025/11/01 19:12:58	807	1	59	4	1	107	240	38	90	33	1	1	0	1	1	3	3	0	3	4	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
41	2025/11/02 19:39:04	2025/11/02 19:53:06	842	1	68	5	1	107	240	38	90	33	1	1	1	0	1	3	3	3	0	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
42	2025/11/04 03:42:26	2025/11/04 03:57:24	898	1	61	5	1	107	240	38	90	33	0	1	1	1	1	0	1	2	3	4	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
43	2025/11/04 14:16:04	2025/11/04 14:25:05	541	1	61	5	1	107	240	38	90	33	1	1	1	1	0	3	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	2025/11/04 02:45:44	2025/11/04 02:53:37	473	1	63	5	1	107	240	38	90	33	1	0	1	0	1	3	0	4	0	4	0	0	2	0	4	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1
45	2025/11/06 16:13:41	2025/11/06 16:24:54	673	1	65	5	1	107	240	38	90	33	0	0	0	1	1	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	2025/11/05 08:38:38	2025/11/05 08:50:51	733	1	61	5	1	107	240	38	90	33	1	1	0	1	1	2	2	0	5	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
47	2025/11/02 11:16:29	2025/11/02 11:25:08	519	1	61	5	1	107	240	38	90	33	0	1	1	1	0	0	2	3	4	0	0	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
48	2025/11/06 02:08:05	2025/11/06 02:21:46	821	1	69	5	1	107	240	38	90	33	1	0	1	0	1	4	0	5	0	4	5	0	4	0	4	1	0	1	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1
49	2025/11/03 23:43:07	2025/11/03 23:50:06	419	1	67	5	1	107	240	38	90	33	1	1	1	1	1	3	4	4	2	3	0	4	5	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0
50	2025/11/04 00:26:59	2025/11/04 00:41:02	843	1	61	5	1	107	240	38	90	33	1	1	0	0	1	3	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	2025/11/05 05:13:12	2025/11/05 05:19:08	356	2	28	1	1	107	240	38	90	33	1	1	0	1	0	3	2	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
52	2025/11/04 19:05:59	2025/11/04 19:19:52	833	2	21	1	1	107	240	38	90	33	1	0	1	1	1	4	0	5	2	4	4	0	4	0	4	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1
53	2025/11/03 07:49:32	2025/11/03 08:03:51	859	2	24	1	1	107	240	38	90	33	1	1	1	1	0	3	2	5	3	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0
54	2025/11/03 20:31:52	2025/11/03 20:41:38	586	2	27	1	1	107	240	38	90	33	0	1	1	1	1	0	3	3	3	4	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
55	2025/11/05 08:32:41	2025/11/05 08:43:22	641	2	28	1	1	107	240	38	90	33	1	0	1	1	1	5	0	4	4	3	3	0	5	4	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
56	2025/11/05 03:00:26	2025/11/05 03:06:40	374	2	21	1	1	107	240	38	90	33	1	1	1	1	1	1	4	3	4	4	0	5	0	5	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1
57	2025/11/06 16:08:24	2025/11/06 16:16:40	496	2	25	1	1	107	240	38	90	33	1	1	1	0	1	3	3	4	0	4	0	0	5	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1
58	2025/11/03 07:24:42	2025/11/03 07:30:23	341	2	28	1	1	107	240	38	90	33	0	0	0	1	1	0	0	0	4	3	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
59	2025/11/04 16:55:31	2025/11/04 17:09:54	863	2	20	1	1	107	240	38	90	33	1	1	1	1	1	2	4	3	3	5	0	5	0	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1
60	2025/11/07 08:56:10	2025/11/07 09:08:49	759	2	26	1	1	107	240	38	90	33	1	1	1	1	0	3	3	4	4	0	0	0	5	3	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
61	2025/11/01 18:11:22	2025/11/01 18:23:10	708	2	39	2	1	107	240	38	90	33	1	1	0	0	1	2	2	0	0	5	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
62	2025/11/05 08:29:52	2025/11/05 08:39:31	579	2	39	2	1	107	240	38	90	33	1	0	1	1	1	4	0	4	4	5	5	0	4	4	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0
63	2025/11/02 08:17:59	2025/11/02 08:22:30	271	2	38	2	1	107	240	38	90	33	1	1	0	1	1	3	2	0	2	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
64	2025/11/03 18:58:04	2025/11/03 19:07:25	561	2	33	2	1	107	240	38	90	33	0	1	1	0	1	0	2	5	0	4	0	0	5	0	5	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1
65	2025/11/03 11:35:50	2025/11/03 11:40:56	306	2	33	2	1	107	240	38	90	33	1	1	1	1	1	4	2	3	3	4	3	0	0	0	5	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1
66	2025/11/03 20:49:34	2025/11/03 21:00:33	659	2	39	2	1	107	240	38	90	33	0	1	0	1	1	0	2	0	2	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
67	2025/11/02 07:17:04	2025/11/02 07:26:15	551	2	37	2	1	107	240	38	90	33	1	1	1	1	0	2	4	3	3	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
68	2025/11/02 07:27:22	2025/11/02 07:34:17	415	2	36	2	1	107	240	38	90	33	0	0	1	0	1	0	0	5	0	4	0	0	5	0	5	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0
69	2025/11/03 04:19:01	2025/11/03 04:30:45	704	2	32	2	1	107	240	38	90	33	1	1	1	1	1	3	2	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
70	2025/11/06 14:21:35	2025/11/06 14:31:28	593	2	36	2	1	107	240	38	90	33	0	1	1	1	1	0	2	4	3	4	0	0	4	0	4	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1
71	2025/11/01 12:22:31	2025/11/01 12:28:03	332	2	40	3	1	107	240	38	90	33	0	1	0	1	1	0	4	0	4	5	0	5	0	2	3	0	0	0	1	1	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1
72	2025/11/06 04:45:55	2025/11/06 04:55:42	587	2	40	3	1	107	240	38	90	33	1	1	1	1	1	2	3	4	3	2	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
73	2025/11/05 02:47:03	2025/11/05 02:56:09	546	2	40	3	1	107	240	38	90	33	1	1	1	1	1	3	3	4	4	3	0	0	3	5	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
74	2025/11/03 16:22:09	2025/11/03 16:28:40	391	2	47	3	1	107	240	38	90	33	0	1	1	1	1	0	3	3	4	3	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
75	2025/11/04 18:41:06	2025/11/04 18:50:38	572	2	40	3	1	107	240	38	90	33	0	1	1	0	1	0	3	3	0	4	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
76	2025/11/03 01:37:59	2025/11/03 01:51:30	811	2	45	3	1	107	240	38	90	33	1	0	0	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	2025/11/04 06:52:35	2025/11/04 07:02:32	597	2	46	3	1	107	240	38	90	33	1	0	1	1	1	1	0	3	2	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
78	2025/11/05 21:50:20	2025/11/05 22:02:30	730	2	41	3	1	107	240	38	90	33	1	0	1	1	1	4	0	5	3	4	1	0	4	0	5	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1
79	2025/11/02 18:49:10	2025/11/02 19:02:17	787	2	44	3	1	107	240	38	90	33	0	0	1	0	1	0	0	5	0	2	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
80	2025/11/01 14:27:23	2025/11/01 14:31:32	249	2	48	3	1	107	240	38	90	33	1	1	0	1	1	3	2	0	4	3	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	2025/11/01 11:03:04	2025/11/01 11:12:49	585	2	59	4	1	107	240	38	90	33	0	1	1	1	0	0	4	3	3	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
82	2025/11/05 22:46:25	2025/11/05 22:54:58	513	2	57	4	1	107	240	38	90	33	0	1	1	1	1	0	3	4	3	4	0	0	5	0	3	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1
83	2025/11/03 21:33:42	2025/11/03 21:47:04	802	2	50	4	1	107	240	38	90	33	0	0	0	0	1	0	0	0	0	4	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
84	2025/11/02 01:20:29	2025/11/02 01:25:32	303	2	57	4	1	107	240	38	90	33	0	0	1	1	1	0	0	5	2	3	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
85	2025/11/04 18:22:50	2025/11/04 18:34:43	713	2	51	4	1	107	240	38	90	33	0	1	1	1	1	0	1	4	4	3	0	0	4	3	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
86	2025/11/06 22:33:52	2025/11/06 22:44:18	626	2	52	4	1	107	240	38	90	33	1	0	1	1	1	4	0	3	4	3	4	0	0	4	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
87	2025/11/02 01:26:03	2025/11/02 01:30:35	272	2	54	4	1	107	240	38	90	33	0	1	1	0	1	0	2	4	0	4	0	0	5	0	4	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
88	2025/11/03 07:26:37	2025/11/03 07:40:28	831	2	58	4	1	107	240	38	90	33	1	0	1	1	1	3	0	3	3	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
89	2025/11/07 02:07:42	2025/11/07 02:22:40	898	2	51	4	1	107	240	38	90	33	0	0	1	1	1	0	0	3	5	2	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
90	2025/11/02 04:31:43	2025/11/02 04:42:20	637	2	50	4	1	107	240	38	90	33	1	1	1	0	0	3	4	5	0	0	0	4	5	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0
91	2025/11/07 01:29:01	2025/11/07 01:36:15	434	2	67	5	1	107	240	38	90	33	0	1	0	1	1	0	2	0	3	5	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
92	2025/11/01 23:21:39	2025/11/01 23:33:39	720	2	65	5	1	107	240	38	90	33	0	1	1	1	1	0	2	5	2	5	0	0	5	0	4	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
93	2025/11/04 04:06:47	2025/11/04 04:13:39	412	2	66	5	1	107	240	38	90	33	0	1	1	1	1	0	3	5	1	5	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0
94	2025/11/06 21:55:44	2025/11/06 22:07:58	734	2	69	5	1	107	240	38	90	33	0	1	1	1	1	0	2	4	2	4	0	0	4	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1
95	2025/11/02 20:25:10	2025/11/02 20:33:01	471	2	60	5	1	107	240	38	90	33	1	0	1	0	1	4	0	5	0	4	5	0	5	0	5	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	1
96	2025/11/05 08:50:38	2025/11/05 08:55:11	273	2	60	5	1	107	240	38	90	33	1	0	1	1	1	4	0	2	4	3	5	0	0	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0
97	2025/11/01 20:04:15	2025/11/01 20:14:03	588	2	67	5	1	107	240	38	90	33	1	1	1	0	1	2	1	3	0	4	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
98	2025/11/02 20:53:30	2025/11/02 20:58:45	315	2	62	5	1	107	240	38	90	33	1	1	1	1	1	3	3	5	3	3	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0
99	2025/11/01 22:33:12	2025/11/01 22:47:23	851	2	60	5	1	107	240	38	90	33	1	1	1	1	1	4	5	5	5	2	4	4	5	4	0	0	0	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
100	2025/11/03 07:42:00	2025/11/03 07:56:17	857	2	60	5	1	107	240	38	90	33	0	1	1	0	0	0	2	5	0	0	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
101	2025/11/04 19:07:00	2025/11/04 19:14:24	444	1	23	1	2	251	193	121	20	226	1	1	1	1	0	2	4	3	4	0	0	5	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
102	2025/11/04 10:46:50	2025/11/04 10:57:58	668	1	21	1	2	251	193	121	20	226	1	0	1	0	1	3	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	2025/11/03 12:42:06	2025/11/03 12:48:56	410	1	27	1	2	251	193	121	20	226	1	1	0	1	1	2	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	2025/11/02 22:40:53	2025/11/02 22:48:40	467	1	21	1	2	251	193	121	20	226	1	1	1	1	1	3	2	4	3	2	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
