MID	START	END	TIME	F1	F2t1	F3	PATt1	T1t1	T2t1	T3t1	T4t1	T5t1	Q1c1	Q1c2	Q1c3	Q1c4	Q1c5	Q2s1	Q2s2	Q2s3	Q2s4	Q2s5	Q3s1	Q3s2	Q3s3	Q3s4	Q3s5	Q4s1c1	Q4s1c2	Q4s1c3	Q4s1c4	Q4s1c5	Q4s2c1	Q4s2c2	Q4s2c3	Q4s2c4	Q4s2c5	Q4s3c1	Q4s3c2	Q4s3c3	Q4s3c4	Q4s3c5	Q4s4c1	Q4s4c2	Q4s4c3	Q4s4c4	Q4s4c5	Q4s5c1	Q4s5c2	Q4s5c3	Q4s5c4	Q4s5c5	STA	ê´ï 	îNóÓ
20	2025/11/03-03:51:04	2025/11/03-03:58:50	0:7:46	1	33	2	1	107	240	38	90	33	1	1	1	1	1	4	1	5	2	4	4	0	5	0	5	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	COMP	1	33
21	2025/11/01-15:37:43	2025/11/01-15:42:38	0:4:55	1	48	3	1	107	240	38	90	33	1	0	1	0	1	4	0	3	0	3	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	COMP	1	48
22	2025/11/05-04:40:10	2025/11/05-04:45:04	0:4:54	1	46	3	1	107	240	38	90	33	1	0	0	1	1	3	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	1	46
23	2025/11/04-23:49:02	2025/11/05-00:03:35	0:14:33	1	42	3	1	107	240	38	90	33	1	1	1	1	0	4	3	3	2	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	COMP	1	42
24	2025/11/01-19:55:55	2025/11/01-20:02:35	0:6:40	1	45	3	1	107	240	38	90	33	1	1	1	1	1	3	1	2	4	5	0	0	0	5	2	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	COMP	1	45
25	2025/11/02-03:06:37	2025/11/02-03:18:36	0:11:59	1	45	3	1	107	240	38	90	33	0	0	0	1	1	0	0	0	2	4	0	0	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	COMP	1	45
26	2025/11/07-03:28:05	2025/11/07-03:32:26	0:4:21	1	41	3	1	107	240	38	90	33	0	0	1	1	1	0	0	4	2	4	0	0	1	0	5	0	0	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	COMP	1	41
27	2025/11/06-07:29:02	2025/11/06-07:42:25	0:13:23	1	41	3	1	107	240	38	90	33	1	1	1	1	1	4	1	5	3	3	5	0	4	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	COMP	1	41
28	2025/11/03-06:15:22	2025/11/03-06:28:46	0:13:24	1	48	3	1	107	240	38	90	33	1	1	1	0	1	3	4	3	0	5	0	5	0	0	5	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	COMP	1	48
29	2025/11/03-10:29:52	2025/11/03-10:42:31	0:12:39	1	44	3	1	107	240	38	90	33	1	1	1	0	1	5	1	2	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	COMP	1	44
30	2025/11/03-16:46:27	2025/11/03-16:54:26	0:7:59	1	48	3	1	107	240	38	90	33	0	1	1	1	0	0	3	2	5	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	COMP	1	48
31	2025/11/01-23:36:59	2025/11/01-23:48:29	0:11:30	1	57	4	1	107	240	38	90	33	1	0	1	1	0	4	0	4	3	0	4	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	COMP	1	57
32	2025/11/03-02:51:09	2025/11/03-02:59:01	0:7:52	1	53	4	1	107	240	38	90	33	0	1	1	1	0	0	2	2	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	COMP	1	53
33	2025/11/04-19:25:09	2025/11/04-19:32:13	0:7:4	1	53	4	1	107	240	38	90	33	1	1	0	1	1	4	2	0	2	4	4	0	0	0	3	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	COMP	1	53
34	2025/11/03-17:01:30	2025/11/03-17:13:44	0:12:14	1	53	4	1	107	240	38	90	33	1	1	1	1	1	5	3	4	3	5	3	0	5	0	3	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	COMP	1	53
35	2025/11/02-04:08:17	2025/11/02-04:13:49	0:5:32	1	51	4	1	107	240	38	90	33	0	1	1	1	1	0	1	5	2	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	COMP	1	51
36	2025/11/04-05:12:20	2025/11/04-05:17:37	0:5:17	1	51	4	1	107	240	38	90	33	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	1	51
37	2025/11/07-05:52:07	2025/11/07-06:05:37	0:13:30	1	53	4	1	107	240	38	90	33	1	0	1	1	1	3	0	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	1	53
38	2025/11/07-01:56:23	2025/11/07-02:06:43	0:10:20	1	58	4	1	107	240	38	90	33	1	1	1	0	1	4	2	5	0	4	2	0	4	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	0	1	COMP	1	58
39	2025/11/07-03:34:31	2025/11/07-03:43:17	0:8:46	1	57	4	1	107	240	38	90	33	1	1	1	0	0	4	4	1	0	0	4	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	COMP	1	57
40	2025/11/01-18:59:31	2025/11/01-19:12:58	0:13:27	1	59	4	1	107	240	38	90	33	1	1	0	1	1	3	3	0	3	4	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	COMP	1	59
41	2025/11/02-19:39:04	2025/11/02-19:53:06	0:14:2	1	68	5	1	107	240	38	90	33	1	1	1	0	1	3	3	3	0	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	COMP	1	68
42	2025/11/04-03:42:26	2025/11/04-03:57:24	0:14:58	1	61	5	1	107	240	38	90	33	0	1	1	1	1	0	1	2	3	4	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	COMP	1	61
43	2025/11/04-14:16:04	2025/11/04-14:25:05	0:9:1	1	61	5	1	107	240	38	90	33	1	1	1	1	0	3	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	1	61
44	2025/11/04-02:45:44	2025/11/04-02:53:37	0:7:53	1	63	5	1	107	240	38	90	33	1	0	1	0	1	3	0	4	0	4	0	0	2	0	4	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	COMP	1	63
45	2025/11/06-16:13:41	2025/11/06-16:24:54	0:11:13	1	65	5	1	107	240	38	90	33	0	0	0	1	1	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	1	65
46	2025/11/05-08:38:38	2025/11/05-08:50:51	0:12:13	1	61	5	1	107	240	38	90	33	1	1	0	1	1	2	2	0	5	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	COMP	1	61
47	2025/11/02-11:16:29	2025/11/02-11:25:08	0:8:39	1	61	5	1	107	240	38	90	33	0	1	1	1	0	0	2	3	4	0	0	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	COMP	1	61
48	2025/11/06-02:08:05	2025/11/06-02:21:46	0:13:41	1	69	5	1	107	240	38	90	33	1	0	1	0	1	4	0	5	0	4	5	0	4	0	4	1	0	1	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	COMP	1	69
49	2025/11/03-23:43:07	2025/11/03-23:50:06	0:6:59	1	67	5	1	107	240	38	90	33	1	1	1	1	1	3	4	4	2	3	0	4	5	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	COMP	1	67
50	2025/11/04-00:26:59	2025/11/04-00:41:02	0:14:3	1	61	5	1	107	240	38	90	33	1	1	0	0	1	3	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	1	61
51	2025/11/05-05:13:12	2025/11/05-05:19:08	0:5:56	2	28	1	1	107	240	38	90	33	1	1	0	1	0	3	2	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	COMP	2	28
52	2025/11/04-19:05:59	2025/11/04-19:19:52	0:13:53	2	21	1	1	107	240	38	90	33	1	0	1	1	1	4	0	5	2	4	4	0	4	0	4	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	COMP	2	21
53	2025/11/03-07:49:32	2025/11/03-08:03:51	0:14:19	2	24	1	1	107	240	38	90	33	1	1	1	1	0	3	2	5	3	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	COMP	2	24
54	2025/11/03-20:31:52	2025/11/03-20:41:38	0:9:46	2	27	1	1	107	240	38	90	33	0	1	1	1	1	0	3	3	3	4	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	COMP	2	27
55	2025/11/05-08:32:41	2025/11/05-08:43:22	0:10:41	2	28	1	1	107	240	38	90	33	1	0	1	1	1	5	0	4	4	3	3	0	5	4	0	1	0	0	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	COMP	2	28
56	2025/11/05-03:00:26	2025/11/05-03:06:40	0:6:14	2	21	1	1	107	240	38	90	33	1	1	1	1	1	1	4	3	4	4	0	5	0	5	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	COMP	2	21
57	2025/11/06-16:08:24	2025/11/06-16:16:40	0:8:16	2	25	1	1	107	240	38	90	33	1	1	1	0	1	3	3	4	0	4	0	0	5	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	COMP	2	25
58	2025/11/03-07:24:42	2025/11/03-07:30:23	0:5:41	2	28	1	1	107	240	38	90	33	0	0	0	1	1	0	0	0	4	3	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	COMP	2	28
59	2025/11/04-16:55:31	2025/11/04-17:09:54	0:14:23	2	20	1	1	107	240	38	90	33	1	1	1	1	1	2	4	3	3	5	0	5	0	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	COMP	2	20
60	2025/11/07-08:56:10	2025/11/07-09:08:49	0:12:39	2	26	1	1	107	240	38	90	33	1	1	1	1	0	3	3	4	4	0	0	0	5	3	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	COMP	2	26
61	2025/11/01-18:11:22	2025/11/01-18:23:10	0:11:48	2	39	2	1	107	240	38	90	33	1	1	0	0	1	2	2	0	0	5	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	COMP	2	39
62	2025/11/05-08:29:52	2025/11/05-08:39:31	0:9:39	2	39	2	1	107	240	38	90	33	1	0	1	1	1	4	0	4	4	5	5	0	4	4	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	COMP	2	39
63	2025/11/02-08:17:59	2025/11/02-08:22:30	0:4:31	2	38	2	1	107	240	38	90	33	1	1	0	1	1	3	2	0	2	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	COMP	2	38
64	2025/11/03-18:58:04	2025/11/03-19:07:25	0:9:21	2	33	2	1	107	240	38	90	33	0	1	1	0	1	0	2	5	0	4	0	0	5	0	5	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	COMP	2	33
65	2025/11/03-11:35:50	2025/11/03-11:40:56	0:5:6	2	33	2	1	107	240	38	90	33	1	1	1	1	1	4	2	3	3	4	3	0	0	0	5	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	COMP	2	33
66	2025/11/03-20:49:34	2025/11/03-21:00:33	0:10:59	2	39	2	1	107	240	38	90	33	0	1	0	1	1	0	2	0	2	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	COMP	2	39
67	2025/11/02-07:17:04	2025/11/02-07:26:15	0:9:11	2	37	2	1	107	240	38	90	33	1	1	1	1	0	2	4	3	3	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	COMP	2	37
68	2025/11/02-07:27:22	2025/11/02-07:34:17	0:6:55	2	36	2	1	107	240	38	90	33	0	0	1	0	1	0	0	5	0	4	0	0	5	0	5	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	COMP	2	36
69	2025/11/03-04:19:01	2025/11/03-04:30:45	0:11:44	2	32	2	1	107	240	38	90	33	1	1	1	1	1	3	2	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	2	32
70	2025/11/06-14:21:35	2025/11/06-14:31:28	0:9:53	2	36	2	1	107	240	38	90	33	0	1	1	1	1	0	2	4	3	4	0	0	4	0	4	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	COMP	2	36
71	2025/11/01-12:22:31	2025/11/01-12:28:03	0:5:32	2	40	3	1	107	240	38	90	33	0	1	0	1	1	0	4	0	4	5	0	5	0	2	3	0	0	0	1	1	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	COMP	2	40
72	2025/11/06-04:45:55	2025/11/06-04:55:42	0:9:47	2	40	3	1	107	240	38	90	33	1	1	1	1	1	2	3	4	3	2	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	COMP	2	40
73	2025/11/05-02:47:03	2025/11/05-02:56:09	0:9:6	2	40	3	1	107	240	38	90	33	1	1	1	1	1	3	3	4	4	3	0	0	3	5	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	COMP	2	40
74	2025/11/03-16:22:09	2025/11/03-16:28:40	0:6:31	2	47	3	1	107	240	38	90	33	0	1	1	1	1	0	3	3	4	3	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	COMP	2	47
75	2025/11/04-18:41:06	2025/11/04-18:50:38	0:9:32	2	40	3	1	107	240	38	90	33	0	1	1	0	1	0	3	3	0	4	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	COMP	2	40
76	2025/11/03-01:37:59	2025/11/03-01:51:30	0:13:31	2	45	3	1	107	240	38	90	33	1	0	0	0	1	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	2	45
77	2025/11/04-06:52:35	2025/11/04-07:02:32	0:9:57	2	46	3	1	107	240	38	90	33	1	0	1	1	1	1	0	3	2	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	COMP	2	46
78	2025/11/05-21:50:20	2025/11/05-22:02:30	0:12:10	2	41	3	1	107	240	38	90	33	1	0	1	1	1	4	0	5	3	4	1	0	4	0	5	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	0	1	COMP	2	41
79	2025/11/02-18:49:10	2025/11/02-19:02:17	0:13:7	2	44	3	1	107	240	38	90	33	0	0	1	0	1	0	0	5	0	2	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	COMP	2	44
80	2025/11/01-14:27:23	2025/11/01-14:31:32	0:4:9	2	48	3	1	107	240	38	90	33	1	1	0	1	1	3	2	0	4	3	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	2	48
81	2025/11/01-11:03:04	2025/11/01-11:12:49	0:9:45	2	59	4	1	107	240	38	90	33	0	1	1	1	0	0	4	3	3	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	COMP	2	59
82	2025/11/05-22:46:25	2025/11/05-22:54:58	0:8:33	2	57	4	1	107	240	38	90	33	0	1	1	1	1	0	3	4	3	4	0	0	5	0	3	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	COMP	2	57
83	2025/11/03-21:33:42	2025/11/03-21:47:04	0:13:22	2	50	4	1	107	240	38	90	33	0	0	0	0	1	0	0	0	0	4	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	COMP	2	50
84	2025/11/02-01:20:29	2025/11/02-01:25:32	0:5:3	2	57	4	1	107	240	38	90	33	0	0	1	1	1	0	0	5	2	3	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	COMP	2	57
85	2025/11/04-18:22:50	2025/11/04-18:34:43	0:11:53	2	51	4	1	107	240	38	90	33	0	1	1	1	1	0	1	4	4	3	0	0	4	3	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	COMP	2	51
86	2025/11/06-22:33:52	2025/11/06-22:44:18	0:10:26	2	52	4	1	107	240	38	90	33	1	0	1	1	1	4	0	3	4	3	4	0	0	4	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	COMP	2	52
87	2025/11/02-01:26:03	2025/11/02-01:30:35	0:4:32	2	54	4	1	107	240	38	90	33	0	1	1	0	1	0	2	4	0	4	0	0	5	0	4	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	COMP	2	54
88	2025/11/03-07:26:37	2025/11/03-07:40:28	0:13:51	2	58	4	1	107	240	38	90	33	1	0	1	1	1	3	0	3	3	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	COMP	2	58
89	2025/11/07-02:07:42	2025/11/07-02:22:40	0:14:58	2	51	4	1	107	240	38	90	33	0	0	1	1	1	0	0	3	5	2	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	COMP	2	51
90	2025/11/02-04:31:43	2025/11/02-04:42:20	0:10:37	2	50	4	1	107	240	38	90	33	1	1	1	0	0	3	4	5	0	0	0	4	5	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	COMP	2	50
91	2025/11/07-01:29:01	2025/11/07-01:36:15	0:7:14	2	67	5	1	107	240	38	90	33	0	1	0	1	1	0	2	0	3	5	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	COMP	2	67
92	2025/11/01-23:21:39	2025/11/01-23:33:39	0:12:0	2	65	5	1	107	240	38	90	33	0	1	1	1	1	0	2	5	2	5	0	0	5	0	4	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	COMP	2	65
93	2025/11/04-04:06:47	2025/11/04-04:13:39	0:6:52	2	66	5	1	107	240	38	90	33	0	1	1	1	1	0	3	5	1	5	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	COMP	2	66
94	2025/11/06-21:55:44	2025/11/06-22:07:58	0:12:14	2	69	5	1	107	240	38	90	33	0	1	1	1	1	0	2	4	2	4	0	0	4	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	COMP	2	69
